م,السؤال,الإجابة
1,يجب إرفاق صور الموازنات اليومية,العبارة صحيحة
2,يجب ضرورة الالتزام بالتسجيل اليومي لمبيعات الكاش,العبارة صحيحة
3,يجب التحقق من الأصناف عبر المسح الضوئي لها في بوابة وصفتي,العبارة صحيحة
4,يمنع تنفيذ أي عمليات بيع بكميات كبيرة (Bulk) لأصناف MIXA,العبارة صحيحة
5,يتم فتح الويب تراكر فقط عند وجود طلبات,العبارة خطأ
6,يتم الاعتماد على استبيان قياس رضا الضيوف المرفق في الرابط الذي يستلمه الضيف مع بيانات الوصفة المرسلة من وصفتي,العبارة صحيحة
7,يتم مطابقة الإيرادات اليومية ومراجعة شاشة إقفال الكاش مع نظام المالية,العبارة صحيحة
8,في حالة إرجاع فواتير بيعية لأعضاء نهديك مستخدم بها واحدة من نقاط الشركاء,سيتم إرجاعها في محفظة نهديك مباشرة
9,في حال أن التحويلات من شركة التعاونية إلى صيدليات النهدي موجودة على نفيس,يتم الصرف مباشرة بالأصناف المحولة فقط
10,حرصاً على جودة خدمات حجز باقات Wellness Card المقدمة لضيوفنا الكرام يجب,الإجابة الأولى والثانية
11,في حالة تحضير الطلب جزئياً تصل للضيف رسالة عبر الواتس آب تفيده بتحضير الطلب جزئياً,العبارة صحيحة
12,يجب استكمال العمليات البيعية لوصفتي على برنامج البيع في نفس وقت الصرف,العبارة صحيحة
13,يجب المراجعة اليومية لصفحة History في بورتال وصفتي والتأكد من وجود فواتير لكل الوصفات المصروفة,العبارة صحيحة
14,في حالات تحويل التعاونية في حال وجود كميات مبالغ بها لا يتم الصرف ويتم مشاركة الحالة على,Right Now
15,من ضمن التحاليل الموجودة في Executive Women's Health Package,جميع ما سبق
16,مدة صلاحية التحويل في حالة عدم عمل DISPATCH,7 أيام
17,في حالة إرجاع فواتير بيعية مدفوعة برصيد محفظة نهديك سيتم إرجاعها في صورة Gift Card يتم طباعته بعد فاتورة الإرجاع,العبارة خطأ
18,مدة صلاحية المرتجع في حالة عدم عمل DISPATCH,180 يوم
19,في حالة وجود متعلقات للضيوف يتم فتح طلب لـ,GCC
20,لتقفيل الأيام بصورة صحيحة يتم عمل,جميع ما سبق
21,يتم استقبال ضيوفنا منسوبي شركة الجزيرة تكافل تحت حساب,TCS
22,في حال وجود أصناف غير ظاهرة (Unlisted) في تحويل التعاونية يمكن الاطلاع على تفاصيل الموافقات المحولة باستخدام,WASEEL
23,في حالة إرجاع فواتير بيعية مدفوعة بإحدى وسائل الدفع (Cash / Mada / Credit Card) ستظهر رسالة لأخذ موافقة الضيف لإرجاع المبلغ إلى محفظة نهديك,العبارة صحيحة
24,من ضمن التحاليل الموجودة في Executive Men's Health Package,جميع ما سبق
25,في حالة الحاجة للدعم الفني لترحيل الوصفات يتم فتح طلب,IT
26,يجب التأكد من خلو صناديق الطلبيات التي سيتم إعادتها للمستودعات من أي أصناف,العبارة صحيحة
27,يتم استقبال ضيوفنا منسوبي شركة Orient تحت حساب,Globemed
28,للحفاظ على الكاش الخاص بالصيدلية يتم عمل,جميع ما سبق
29,يجب على الجميع عدم مشاركة بيانات الضيوف مع أي شخص غير مخول له,العبارة صحيحة
30,في حالة مرور 3 أشهر دون تلقي الخدمة لـ Wellness Card يتم إلغاء قيمة هذه المبيعات من تحقيق المستهدف الخاص بـ Wellness Card,العبارة صحيحة
31,في حالة عدم توفر أي من الأصناف المطلوبة في الطلب يتم,الإجابة الأولى والثانية
32,يمكن صرف صنف White Soft Paraffin عن طريق وصفتي,العبارة صحيحة
33,متابعة الالتزام بالتحصيل والتوريد ضمن حالات CTQ,العبارة صحيحة
34,عند اكتشاف وجود زيادة أو عجز في الكاش يتم إبلاغ فوراً,مشرف الصيدلية
35,يمكن الوصول لأصناف Smart List من خلال EAGLE EYE,العبارة صحيحة
36,في حالة أن الضيف غير مسجل ببرنامج نهديك وعند إرجاع فاتورة تم السداد بنقاط الشركاء يتم إرجاعها في صورة Gift Card,العبارة صحيحة
37,يتم توريد مبلغ الكاش بفصل مبلغ الـ Start Cash أولاً ثم توريد كامل المبلغ الموجود في الدرج سواء كان هناك زيادة أو عجز,العبارة صحيحة
38,في حالات تحويل التعاونية لا يعتد بتحويل أو وصفة ورقية مع المريض حيث أن المرجعية فقط للأصناف الموافق عليها والموجودة على نفيس أو Wassel Portal,العبارة صحيحة
39,يمكن التأكد من أهلية الضيف للكشف في عيادات النهدي كير من خلال Eligibility Insurance Clinic Portal from My Apps,العبارة صحيحة
40,في حال أن التحويلات من شركة التعاونية إلى صيدليات النهدي غير موجودة على نفيس (APA) يتم الاطلاع على تفاصيل الموافقة الموجودة مع الضيف على,WASEEL
41,يتم تحضير طلبات Click & Collect خلال وقت لا يتجاوز,20 دقيقة
42,يحظر على فني الصيدلة وطلاب الصيدلة الذين يعملون تحت التدريب صرف أو بيع المستحضرات الصيدلانية دون إشراف الصيدلي,العبارة صحيحة
